influencer_username,post_reel_link,likes,comments,views,caption,followers,total_posts,following,engagement_score
jimballdesigns,https://www.instagram.com/p/DNsqZqxXE6I/,21,1,0,"The earring you have to have💙

Style:  Grace 

#jimballdesigns #sherrihill #rhinestoneearrings #prom #pageant #promjewelry #homecoming",5606,1688,2389,23.0
shopthevu118,https://www.instagram.com/p/DNsot7K2hcL/,74,2,0,"💜 Lavender dreams in Sherri Hill ✨ 

The perfect mix of lace + satin makes this look classic, dreamy & totally HOCO ready! 👗💫 Available in multiple colors so you can find your perfect vibe.

⏰ Shop today 11–5p! Just a heads up—there’s an event downtown, so plan your visit accordingly. 💖

Celebrate Mount Airy is today— the streets will be closing at 4pm with limited parking, clients after 4pm will have to park at Calvary United Methodist Church.

#hoco #homecoming #dress #lavender #lavenderdress #cocktaildress #sherrihill #specialoccasion #shopthevu #pageant #glam",9412,2740,6758,78.0
girligirl_boutique,https://www.instagram.com/p/DNtzChI5JeV/,2735,5,0,"Your favorite prom dresses are available for homecoming 🤩 Shop the Sherri Hill Fall 2025 Collection today at Girligirl Boutique 💗

#girligirlboutique #girligirl #sherrihill #hococourt #promdress #longdress #promdresses #dreamdress #sherrihilldress #homecoming #hocoishere #hoco #hocodress #homecomingdress #hocoseason #hocoszn #hocoshopping",582755,6934,1048,2745.0
rubiaazeredo,https://www.instagram.com/p/DNstW79YpuV/,118,22,0,"VI Gala LaBluh 2025✨

Photo: @samuel.aphoto 
Makeup: @nara_makeup143 
Hair: @lessadeivison 
Dress: @sherrihill @theultimateprom 
Venue: @victoriahallplaza @victoriahallvenue 
Event manager: @thalespaulino @rocketman.fun

#mompreneur #mom #esthetics #businesswoman #reallife #boss #ceo #mulheresdenegocio #mulheresempreendedoras #gala #promdress #yellowdress #sherrihill #labluh #galalabluh2025",54890,752,1994,162.0
viperapparelprom,https://www.instagram.com/p/DNtSe7T3PT9/,30,0,0,"Timeless Elegance 🕑✨💋

Serving red carpet energy in this satin @sherrihill ✨ Bold red, sleek style, and a slit that does all the talking 🥰 a great choice for any special occasion!

#sherrihill #sherrihillprom #prom #hoco #dress #reddress #red #vipergirl #viperapparel #michigan",17193,5215,1795,30.0
elanformalsandboutique,https://www.instagram.com/p/DNsfQYW3Jgn/,14,0,0,"❤️👑Come shop all of our New Little Girl Arrivals along with so much more today 10-4 pm👑🚨

🚨🚨🚨TOP DESIGNS from SHERRI HILL, ASHLEY LAUREN, JOHNATHAN KAYNE, RACHEL ALLAN, TARIK EDIZ, PRIMAVERA, AVA PRESLEY, JOVANI, HOUSE OF WU, AMARRA, ALYCE PARIS & More

🛍️ New shipments arriving daily! 

💗 👗 💗👑We are the place for ALL your PAGEANT Needs including SPRAYTANS!!

👗Free In-House Layaway and Afterpay options available to make purchasing easier!!

💎We have a HUGE selection of jewelry including styles from our favorite @jimballdesigns and many more! We also offering a great selection of shoes from @benjaminwalkshoes and @marcdefang 

👑 Our Elan Formals team can’t wait to help your girl feel like a QUEEN! 💗👗 

⏰No Appointments Necessary! 
Open Monday-Friday 10-5
Saturday 10-4
Sunday By Appointment Only

📍29 S Court Square Suite A Andalusia, Al 36420

🛍️Shop online 24/7 @ www.elanformals.com>>>WE SHIP

#shopelaninandalusia #elanformalsandboutique #elanformals #wheredistinctionmeetselegance #wedressthebest #sayyestothedress #fall2025 #homecoming #hoco2025 #fallfashion #sherrihill #johnathankayne #avapresley #jovani #ashleylauren #shortdresses #shoplocal #shopsmall #shopandalusia",4878,4609,2056,14.0
runwayfashionsboutique,https://www.instagram.com/p/DNtpFyiZKMo/,19,1,0,"No better color than 💖PINK💖 #sherrihill In store now! 
•
•
#shopping #sayyestothedress #shopsmall #smallbusiness #smallbusinessowner #shopsmallbusiness #supportsmallbusiness #supportlocal #fashion #dress #dresses #like #follow #ootd #followme #beautiful #instagood #photooftheday #style #fashion #fashionstyle #fashionblogger #fashionista #fashionable #styleblogger #fashiondesigner #homecoming #hoco #homecomingdress #viral",7823,4999,2481,21.0
sloansformals,https://www.instagram.com/p/DNs9RMaXOA7/,5,0,0,"New Sherri Hill dresses just arrived for Sloan’s Formals!✨ Come check out the latest styles and find your dream dress💗
Check out this Sherri Hill 57282 in a size 2 at our mall location🤩🖤🤍👏 

#sherrihill #sloansformals #sloansformalsandboutique #bowdetails #shreveportfashion #shoplocal #shop #formals #homecoming2025 #homecoming",5395,2117,1208,5.0
haley.lu_,https://www.instagram.com/p/DNrR18i5EC7/,3,22,0,"Evening Gown! 🧡

#eveninggown #orangedress #pageantry #fyp #explore #sherrihill #sherrihilldress #prom",2800,34,1826,47.0
alwaysforevergirl,https://www.instagram.com/p/DNrQDau3OG9/,70,0,0,"The wait is over…HOCO SZN IS HERE!! 🤩💙✨

Every size & color & style for homecoming court and the dance is waiting for you at Always & Forever! Prebook your fitting room for less wait time (we’ve opened more appointments for tomorrow!) Lock in your hoco look today, link’s in bio! 

#alwaysforevergirl #hoco #homecoming #hocodress #sherrihill",22172,5664,7145,70.0
